model,sample_id,first_recorded_mismatch,final_match
grok46,S039,profiling,True
grok46,S040,none,True
grok46,S042,none,True
grok46,S043,none,True
grok46,S044,none,True
grok46,S045,none,True
grok46,S046,annex_iii,False
grok46,S047,none,True
grok46,S048,none,True
grok46,S049,derogation,False
grok46,S050,none,True
grok46,S051,none,True
grok46,S052,none,True
grok46,S053,art5,True
grok46,S054,none,True
grok46,S055,none,True
grok46,S056,art5,True
grok46,S057,none,True
grok46,S058,none,True
grok46,S060,none,True
grok46,S061,profiling,True
grok46,S062,none,True
grok46,S063,none,True
grok46,S064,none,True
grok46,S065,none,True
grok46,S066,none,True
grok46,S068,none,True
grok46,S069,art5,False
grok46,S070,none,True
grok46,S071,none,True
grok46,S072,art5,False
grok46,S073,none,True
grok46,S074,none,True
grok46,S075,none,True
grok46,S076,none,True
grok46,S077,none,True
grok46,S078,none,True
grok46,S079,none,True
grok46,S080,none,True
grok46,S081,none,True
grok46,S082,none,True
grok46,S083,none,True
grok46,S084,none,True
grok46,S085,none,True
grok46,S086,none,True
grok46,S087,none,True
grok46,S088,none,True
grok46,S089,none,True
grok46,S090,none,True
grok46,S091,none,True
grok46,S092,art5,True
grok46,S093,art5,False
grok46,S094,none,True
grok46,S095,art5,False
grok46,S096,none,True
grok46,S097,none,True
grok46,S098,none,True
grok46,S099,none,True
grok46,S100,none,True
grok46,S101,none,True
grok46,S102,none,True
grok46,S103,none,True
grok46,S104,none,True
grok46,S105,none,True
grok46,S106,art5,False
grok46,S107,none,True
grok46,S108,none,True
grok46,S109,none,True
grok46,S110,annex_i,True
grok46,S111,none,True
grok46,S112,none,True
grok46,S113,none,True
grok46,S114,none,True
grok46,S115,none,True
grok46,S116,none,True
grok46,S117,none,True
grok46,S118,none,True
grok46,S119,none,True
grok46,S120,annex_iii,True
grok46,S121,none,True
grok46,S122,none,True
grok46,S123,art5,False
grok46,S124,none,True
grok46,S125,none,True
grok46,S126,none,True
grok46,S127,none,True
grok46,S128,none,True
grok46,S129,none,True
grok46,S130,none,True
grok46,S131,art5,False
grok46,S132,none,True
grok46,S133,none,True
grok46,S134,none,True
grok46,S135,none,True
grok46,S136,none,True
grok46,S137,none,True
grok46,S138,none,True
grok46,S139,none,True
grok46,S140,annex_i,False
grok46,S141,none,True
grok46,S142,none,True
grok46,S143,art5,False
grok46,S144,none,True
